"Number","Genebank","Genebank.ID","Species.code","Species","GPS","GPS.1","GPS.2","GPS.3","Place","Province","COUNTRY","Description","Date.of.collecton","Elevation","Ploidy","gps.lat","gps.lon","gps.elevation"
807,"CGN",17837,"SCT","sanctae-rosae",-26.55,"2633S",-65.8,"06548W","P. Tucuman","D. Tafi del Valle","ARG","Quebrada Honda km 84","13/02/59",3000,"24",-26.55,-65.8,3226.19311523438
808,"CGN",17600,"SND","sandemanii",-16.4,"1624S",-71.4,"07124W","D. Arequipa","P. Arequipa","PER","Chiguata, near Arequipa, valley of Rio Grande","10/04/59",2700,"24",-16.4,-71.4,2944.24682617188
809,"CGN",18293,"SAN","santolallae",-131.333,"1308S",-714.166,"07125W","D. Cusco","P. Paucartambo","PER","Pillahuata","18/04/45",2700,"24",-13.1333333333333,-71.4166666666667,1618.02880859375
810,"CGN",18361,"SNK","schenckii",162.833,"1617N",-976.833,"09741W","E. Oaxaca",NA,"MEX","Between La Cumbre and Yavila",NA,2750,"72",16.2833333333333,-97.6833333333333,744.229675292969
811,"CGN",20655,"STL","setulosistylum",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
812,"CGN",962632,"SIT","sitiens",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"24",NA,NA,NA
813,"CGN",962729,"SST","soestii",-16.95,"1657S",-671.833,"06711W","D. La Paz","P. Inquisivi","BOL","6 km N of town square of Quime","15/03/93",2819,"24",-16.95,-67.1833333333333,3319.96240234375
814,"CGN",17601,"SGR","sogarandinum",-8.15,"0809S",-781.833,"07811W","D. La Libertad","P. Santiago de Chuco","PER","Sogaranda, near Santiago de Chuco","12/05/52",3550,"24",-8.15,-78.1833333333333,3134.990234375
815,"CGN",18061,"SOU","soukupii",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
816,"CGN",18096,"SPL","sparsipilum",-177.166,"1743S",-662.833,"06617W","D. Cochabamba","P. Capinota","BOL","Parotani-Capinota road, 1 km past Charamo","22/03/74",2400,"24",-17.7166666666667,-66.2833333333333,2519.02319335938
817,"CGN",17838,"SPL","sparsipilum",NA,NA,NA,NA,"D. Cochabamba",NA,"BOL","Sta Cruz, km118, near Jatun Pino","01/01/65",NA,"24",NA,NA,NA
818,"CGN",18221,"SPL","sparsipilum",-17.95,"1757S",-659.166,"06555W","D. Cochabamba","P. E. Arce","BOL","Hacienda mollepujro, 100 m from the house","07/03/80",2560,"24",-17.95,-65.9166666666667,2816.91625976562
819,"CGN",20653,"SPL","sparsipilum",-175.666,"1734S",-663.833,"06623W","D. Cochabamba","P. Capinota","BOL","2 km from Parotani on the road to Capinota (1 km from the new road)","29/03/80",2450,"24",-17.5666666666667,-66.3833333333333,2680.51904296875
820,"CGN",17758,"SPL","sparsipilum",-16.55,"1633S",-68.1,"06806W","D. La Paz","P. Murillo","BOL","Sequencoma","02/04/71",3325,"24",-16.55,-68.1,3447.11450195312
821,"CGN",20602,"SPL","sparsipilum",-16.55,"1633S",-68.1,"06806W","D. La Paz","P. Murillo","BOL","From La Paz to Mecapaca, Aranjuez, 1 km past inst. Biblico Nazareno,","13/03/80",3190,"24",-16.55,-68.1,3447.11450195312
822,"CGN",960795,"SPG","spegazzinii",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
823,"CGN",21318,"SPG","spegazzinii",NA,NA,NA,NA,"P. La Rioja","D. Famatina","ARG","between Carrizal and Corrales","10/04/60",1900,"24",NA,NA,NA
824,"CGN",22707,"SPG","spegazzinii",-288.166,"2849S",-676.666,"06740W","P. La Rioja","D. Famatina","ARG","Sierra Famatina-at base, Los Corrales","25/03/66",1950,"24",-28.8166666666667,-67.6666666666667,2217.017578125
825,"CGN",18100,"VER","verrucosum",-266.666,"2640S",-658.166,"06549W","P. Tucuman","D. Tafi del Valle","ARG","Ruta 307, km 97.7, entre Amaicha y Tafi","11/04/74",2700,"24",-26.6666666666667,-65.8166666666667,2730.29174804688
826,"CGN",21321,"SPG","spegazzinii",NA,NA,NA,NA,"P. Salta","D. San Carlos","ARG","Tonco, road to the Don Otto mine","24/02/71",3300,"24",NA,NA,NA
827,"CGN",23015,"SPG","spegazzinii",-28.95,"2857S",-67.7,"06742W","P. La Rioja","D. Famatina","ARG","Below la Encrucijada","08/03/56",2950,"24",-28.95,-67.7,3332.15795898438
828,"CGN",18034,"SPEC","species",NA,NA,NA,NA,NA,NA,"ARG","San Varlos",NA,2000,"24",NA,NA,NA
829,"CGN",18161,"STN","stenotomum",-183.333,"1820S",-67.6,"06736W","D. Oruro","P. Carangas","BOL","39km from Toledo to Corque, near Hauko Kcale.","27/03/80",3750,"24",-18.3333333333333,-67.6,3760.28173828125
830,"CGN",17621,"GON","stenotomum goniocalyx",NA,NA,NA,NA,"D. Cusco",NA,"PER",NA,NA,NA,"24",NA,NA,NA
831,"CGN",18314,"GON","stenotomum goniocalyx",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"24",NA,NA,NA
832,"CGN",18237,"GON","stenotomum goniocalyx",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
833,"CGN",17625,"GON","stenotomum goniocalyx",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
834,"CGN",17623,"GON","stenotomum goniocalyx",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
835,"CGN",962637,"STO","stoloniferum",191.166,"1907N",-987.666,"09846W","E. Mexico",NA,"MEX","Near Amecameca",NA,NA,"48",19.1166666666667,-98.7666666666667,2482.23266601562
836,"CGN",17607,"STO","stoloniferum",19.7,"1942N",-101.116,"10107W","E. Michoacan",NA,"MEX","Cerro Punguato near Morelia","03/08/65",NA,"48",19.7,-101.116666666667,2053.2373046875
837,"CGN",17606,"STO","stoloniferum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
838,"CGN",18348,"STO","stoloniferum",195.833,"1935N",-990.666,"09904W","E. Mexico",NA,"MEX","Mexico City to San Juan del Rio at km 167, highway 57","04/09/58",3100,"48",19.5833333333333,-99.0666666666667,2433.06518554688
839,"CGN",962615,"STO","stoloniferum",NA,NA,NA,NA,"E. Mexico","C. Toluca","MEX","Toluca, agric. exp. Sta. Elena",NA,NA,"48",NA,NA,NA
840,"CGN",18334,"STO","stoloniferum",NA,NA,NA,NA,NA,NA,"MEX","Los cedros, Humboldt road, desserted field",NA,NA,"48",NA,NA,NA
841,"CGN",23072,"STO","stoloniferum",190.833,"1905N",-986.833,"09841W","E. Mexico",NA,"MEX","In forest on the road to the volcans behind Amecameca",NA,3200,"48",19.0833333333333,-98.6833333333333,3279.02514648438
842,"CGN",18333,"STO","stoloniferum",190.833,"1905N",-986.833,"09841W","E. Mexico",NA,"MEX","In forest on the road to the volcans behind Amecameca",NA,3200,"48",19.0833333333333,-98.6833333333333,3279.02514648438
843,"CGN",20628,"SCR","sucrense",-192.333,"1914S",-65.85,"06551W","D. Potosi","P. Frias","BOL","5 km from Tinguipaya to Potosi","28/02/80",3320,"48",-19.2333333333333,-65.85,3865.22021484375
844,"CGN",20630,"SCR","sucrense",-195.333,"1932S",-65.8,"06548W","D. Potosi","P. Frias","BOL","17 km from Potosi to Yocalla","02/03/80",3240,"48",-19.5333333333333,-65.8,3778.02465820312
845,"CGN",20631,"SCR","sucrense",-19.45,"1927S",-65.8,"06548W","D. Potosi","P. Frias","BOL","1 km from Estancia Mondragon on the old road to Potosi via Miraflores","02/03/80",3120,"48",-19.45,-65.8,3708.32958984375
846,"CGN",18187,"SCR","sucrense",-19.45,"1927S",-658.166,"06549W","D. Potosi","P. Frias","BOL","Cayara village, 25 km from potosi on the old road to Oruro","04/03/80",3380,"48",-19.45,-65.8166666666667,3854.251953125
847,"CGN",20634,"SCR","sucrense",-191.166,"1907S",-648.833,"06453W","D. Chuquisaca","P. Yamparaez","BOL","14 km from Tarabuco to Presto","11/03/80",2810,"48",-19.1166666666667,-64.8833333333333,3167.44921875
848,"CGN",22350,"SCR","sucrense",-20.05,"2003S",-65.55,"06533W","D. Potosi","P. Linares","BOL","105 km from Cotagaita to Potosi via Vitiche","01/04/80",3130,"48",-20.05,-65.55,3344.376953125
849,"CGN",18206,"SCR","sucrense",-19.55,"1933S",-65.7,"06542W","D. Potosi","P. Frias","BOL","5 km from Potosi on road to Betanzos","01/04/80",3600,"48",-19.55,-65.7,4127.99951171875
850,"CGN",18105,"SCR","sucrense",-194.666,"1928S",-658.333,"06550W","D. Potosi","P. Frias","BOL","On road to Oruro, 30 km from Potosi, just before Totora","19/04/74",NA,"48",-19.4666666666667,-65.8333333333333,3768.88891601562
851,"CGN",NA,"TAR","tarijense",-17.52,"17?52 S",-65.22,"065?22 W","D. Chuquisaca","P. Mizque","BOL","12 km north of Mizque on road to Cochabamba",NA,2400,"24",NA,NA,NA
852,"CGN",22729,"TAR","tarijense",-191.166,"1907S",-652.833,"06517W","D. Chuquisaca","P. Oropeza","BOL","13km from Sucre to Potosi (Villa Victoria)","06/03/80",2460,"24",-19.1166666666667,-65.2833333333333,2822.49755859375
853,"CGN",962224,"TAR","tarijense",-215.666,"2134S",-646.333,"06438W","D. Tarija","P. Cercado","BOL","10 km from Tarija to entre rios","27/03/80",2900,"24",-21.5666666666667,-64.6333333333333,1871.01330566406
854,"CGN",22714,"TAR","tarijense",-214.166,"2125S",-64.5,"06430W","D. Tarija","P. Cercado","BOL","42 km from Tarija to entre Rios","27/03/80",2300,"24",-21.4166666666667,-64.5,2493.76977539062
855,"CGN",18198,"TAR","tarijense",-214.166,"2125S",-64.5,"06430W","D. Tarija","P. Cercado","BOL","42 km from Tarija to entre Rios","27/03/80",2280,"24",-21.4166666666667,-64.5,2493.76977539062
856,"CGN",960807,"TAR","tarijense",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
857,"CGN",960805,"TAR","tarijense",-19.1,"1906S",-652.333,"06514W","D. Chuquisaca","P. Oropeza","BOL","Tambakasa, 16 km from Sucre on Zudanez road","04/03/71",2850,"24",-19.1,-65.2333333333333,2791.2568359375
858,"CGN",960806,"TAR","tarijense",-193.333,"1920S",-651.666,"06510W","D. Potosi","P. Saavedra","BOL","On the road to Potosi,  84 km from Sucre, 0.5 km before the village. 0.5 km before Retiro","06/03/71",2750,"24",-19.3333333333333,-65.1666666666667,2463.53515625
859,"CGN",17975,"TAR","tarijense",-22.6,"2236S",-651.166,"06507W","P. Salta","D. Iruya","ARG","Salta.  Rio Nazaneno","15/02/70",2550,"24",-22.6,-65.1166666666667,3601.88916015625
860,"CGN",961432,"TAR","tarijense",-22.25,"2215S",-65.05,"06503W","P. Salta","D. Santa Victoria","ARG","km 3  rodeopampa","06/03/71",2300,"24",-22.25,-65.05,3089.99438476562
861,"CGN",17924,"ACL","acaule",-22.25,"2215S",-650.666,"06504W","P. Salta","D. Santa Victoria","ARG","Rodeopampa, 14.5 KM Santa Victoria to Abra de Lizoite","06/03/71",2850,"48",-22.25,-65.0666666666667,3275.64282226562
862,"CGN",21337,"TAR","tarijense",-22.25,"2215S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Beside the track S of Rio Santa Victoria going towards Meson","09/03/71",2200,"24",-22.25,-64.9666666666667,2374.74047851562
863,"CGN",23795,"TAR","tarijense",-22.2,"2212S",-649.333,"06456W","P. Salta","D. Santa Victoria","ARG","Chojo","09/03/71",2350,"24",-22.2,-64.9333333333333,2319.27124023438
864,"CGN",961736,"TAR","tarijense",-22.25,"2215S",-648.833,"06453W","P. Salta","D. Santa Victoria","ARG","Quebrada de la Soledad","09/03/71",2250,"24",-22.25,-64.8833333333333,2703.81787109375
865,"CGN",17976,"TAR","tarijense",-22.2,"2212S",-64.95,"06457W","P. Salta","D. Santa Victoria","ARG","7 km N of Santa Victoria to Pucara, last hill before Pucara","25/03/71",2400,"24",-22.2,-64.95,2598.80615234375
866,"CGN",17974,"TAR","tarijense",-226.333,"2238S",-651.833,"06511W","P. Salta","D. Iruya","ARG",NA,NA,3050,"24",-22.6333333333333,-65.1833333333333,3797.63232421875
867,"CGN",17977,"TAR","tarijense",-22.25,"2215S",NA,NA,"P. Salta","D. Santa Victoria","ARG",NA,NA,2200,"24",-22.25,NA,NA
868,"CGN",18107,"TAR","tarijense",-251.833,"2511S",-65.8,"06548W","P. Salta","D. Chicoana","ARG","2km arriba de Escoipe, ruta nac.59, km 40","08/04/74",2100,"24",-25.1833333333333,-65.8,2583.81860351562
869,"CGN",961128,"TAR","tarijense",-251.833,"2511S",-65.8,"06548W","P. Salta","D. Chicoana","ARG","Route 59, km 40, 2 km W of Escoipe, near the finca Maray. Quebrada","19/03/73",2100,"24",-25.1833333333333,-65.8,2583.81860351562
870,"CGN",17978,"TAR","tarijense",-222.666,"2216S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Santa Victoria, ravine of Rio Acoite","24/04/74",2560,"24",-22.2666666666667,-64.9666666666667,2642.5869140625
871,"CGN",17979,"TAR","tarijense",-222.666,"2216S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Santa Victoria, ravine of Rio Negrohuaico. 400 m Quebrada arriba","24/04/74",2560,"24",-22.2666666666667,-64.9666666666667,2642.5869140625
872,"CGN",961441,"TAR","tarijense",-222.666,"2216S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Santa Victoria,ravine of Rio Negrohuaico.400M Quebrada Arriba 5M Oka","24/04/74",2560,"24",-22.2666666666667,-64.9666666666667,2642.5869140625
873,"CGN",17980,"TAR","tarijense",-222.666,"2216S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Quebrada del Rio Negrohuaico, 400 m quebrada arriba","24/04/74",2560,"24",-22.2666666666667,-64.9666666666667,2642.5869140625
874,"CGN",21338,"TAR","tarijense",-222.666,"2216S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Santa Victoria, quebrada del Rio Hegrohuaica, 50 m from mouth of Santa Vic","24/04/74",2560,"24",-22.2666666666667,-64.9666666666667,2642.5869140625
875,"CGN",17981,"TAR","tarijense",-222.666,"2216S",-649.666,"06458W","P. Salta","D. Santa Victoria","ARG","Quebrada del Rio Negrohuaico Salta.  10 m from mouth of Rio Negrohuaico","24/04/74",2560,"24",-22.2666666666667,-64.9666666666667,2642.5869140625
876,"CGN",961449,"TAR","tarijense",-222.666,"2216S",-64.95,"06457W","P. Salta","D. Santa Victoria","ARG","Path from Santa Victoria to Papachicra","21/04/76",2900,"24",-22.2666666666667,-64.95,2584.37841796875
877,"CGN",17982,"TAR","tarijense",-22.35,"2221S",-651.833,"06511W","P. Salta","D. Santa Victoria","ARG","Path from Santa Victoria to Corral Blanco.A 500 m de Oka 6238(76053)","22/04/76",2200,"24",-22.35,-65.1833333333333,4272.02783203125
878,"CGN",961451,"TAR","tarijense",-222.666,"2216S",-649.833,"06459W","P. Salta","D. Santa Victoria","ARG","Santa Victoria","06/05/76",2500,"24",-22.2666666666667,-64.9833333333333,2495.8427734375
879,"CGN",962690,"TAR","tarijense",-182.833,"1817S",-65.25,"06515W","D. Cochabamba","P. Campero","BOL","16km S of town square of Aiquile, drive W, across river, to town of Pabellon Mayu, walk S, up stream","14/01/94",2210,"24",-18.2833333333333,-65.25,2288.66870117188
880,"CGN",18335,"PNT","pinnatisectum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
881,"CGN",22722,"TRF","trifidum",NA,NA,NA,NA,"E. Michoacan",NA,"MEX",NA,NA,NA,"24",NA,NA,NA
882,"CGN",22371,"TRF","trifidum",19.55,"1933N",-103.633,"10338W","E. Jalisco",NA,"MEX","NE slope of Nevado de Colima, 13 km from turn to Toliman, Los Alpes","22/09/58",2300,"24",19.55,-103.633333333333,3333.341796875
883,"CGN",22877,"TBR","tuberosum",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"48",NA,NA,NA
884,"CGN",962368,"TBR","tuberosum",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,"48",NA,NA,NA
885,"CGN",960305,"ADG","tuberosum andigena",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"48",NA,NA,NA
886,"CGN",20610,"ADG","tuberosum andigena",-193.833,"1923S",-65.9,"06554W","D. Potosi","P. Frias","BOL","50km from Potosi to Oruro.","01/04/80",3480,"48",-19.3833333333333,-65.9,3372.10571289062
887,"CGN",20614,"ADG","tuberosum andigena",-16.55,"1633S",-690.166,"06901W","D. La Paz","P. Ingavi","BOL","3km from Desaguadero to Guaqui.","22/03/80",3800,"48",-16.55,-69.0166666666667,3815
888,"CGN",23055,"ADG","tuberosum andigena",-162.666,"1616S",-679.666,"06758W","D. La Paz","P. Murillo","BOL","44km from toll-block La Paz to Unduavi (Unduavi junction).","19/02/80",3250,"48",-16.2666666666667,-67.9666666666667,3926.39770507812
889,"CGN",960441,"ADG","tuberosum andigena",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
890,"CGN",18353,"TUQ","tuquerrense",10.833,"0105N",-776.166,"07737W","D. Narino",NA,"COL","103 km from Pasto and 30 km from Tuquerres on the road from Pasto","31/08/65",3150,"48",1.08333333333333,-77.6166666666667,3026.67211914062
891,"CGN",18364,"SPEC","species",-196.333,"1938S",-645.833,"06435W","D. Chuquisaca","P. Azurduy","BOL","115.2km N of Azurduy","17/01/94",3440,"48",-19.6333333333333,-64.5833333333333,3095.93408203125
892,"CGN",18369,"UGT","ugentii",-197.333,"1944S",-645.833,"06435W","D. Chuquisaca","P. Azurduy","BOL","113 km N of Azurduy, 20 km N of Cruz Kasa","07/03/93",3730,"48",-19.7333333333333,-64.5833333333333,3536.23852539062
893,"CGN",18324,"VLR","velardei",-13.45,"1327S",-737.166,"07343W","D. Apurimac","P. Abancay","PER","Vecinity of Chirhuay",NA,2600,"24",-13.45,-73.7166666666667,4241.318359375
894,"CGN",17761,"VNT","venturii",NA,NA,NA,NA,"P. Tucuman","D. Tafi del Valle","ARG","Valle Viscacka",NA,NA,"24",NA,NA,NA
895,"CGN",17762,"VRN","vernei",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
896,"CGN",961508,"VNT","venturii",-236.333,"2338S",NA,NA,"P. Jujuy","D. Tilcara","ARG","Tilcara","23/03/72",NA,"24",-23.6333333333333,NA,NA
897,"CGN",22728,"VRN","vernei",-251.666,"2510S",-658.333,"06550W","P. Salta","D. Chicoana","ARG","Cuesta del Obispo, Quebrada La Sirena, 4km arriba pie de la cuesta, ruta59","08/04/74",2600,"24",-25.1666666666667,-65.8333333333333,2830.05541992188
898,"CGN",18111,"VRN","vernei",-267.666,"2646S",-657.666,"06546W","P. Tucuman","D. Tafi del Valle","ARG","Quebrada a la altura del km 83, ruta 307 y 2km sur del camino","11/04/74",2900,"24",-26.7666666666667,-65.7666666666667,2897.54174804688
899,"CGN",21350,"VRN","vernei",-267.666,"2646S",-657.666,"06546W","P. Tucuman","D. Tafi del Valle","ARG","Quebrada a la altura del km 83, ruta 307 y 2km sur del camino","11/04/74",2900,"24",-26.7666666666667,-65.7666666666667,2897.54174804688
900,"CGN",22345,"VRN","vernei",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
901,"CGN",18112,"VRN","vernei",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
902,"CGN",18114,"VRN","vernei",-221.166,"2207S",-650.333,"06502W","P. Salta","D. Santa Victoria","ARG","400 m above the Ravine Yahuaico, by the rio Santa Cruz","26/04/74",3140,"24",-22.1166666666667,-65.0333333333333,3493.65869140625
903,"CGN",23039,"VRN","vernei",-221.166,"2207S",-650.333,"06502W","P. Salta","D. Santa Victoria","ARG","10 km N of Santa Cruz,Quebrada de Santa Cruz.1km Q.arriba de Oka 5924","26/04/74",3300,"24",-22.1166666666667,-65.0333333333333,3493.65869140625
904,"CGN",18278,"VRN","vernei",-23.6,"2336S",-651.833,"06511W","P. Jujuy","D. Tilcara","ARG","Piscuno, about three hours above El Durazno by mule","13/04/83",3100,"24",-23.6,-65.1833333333333,2783.43994140625
905,"CGN",17836,"VRN","vernei",NA,NA,NA,NA,"P. Jujuy","D. Tilcara","ARG","Quebrada del Chorro, de San Antonio hasta Huaca Corral","24/03/52",3000,"24",NA,NA,NA
906,"CGN",17992,"BAL","vernei ballsii",-23.6,"2336S",-651.333,"06508W","P. Jujuy","D. Tilcara","ARG","Huairahuasi, Casa Colorada - Molulo road","21/03/72",3200,"24",-23.6,-65.1333333333333,1926.16296386719
907,"CGN",17993,"BAL","vernei ballsii",-23.6,"2336S",-651.333,"06508W","P. Jujuy","D. Tilcara","ARG","Huairahuasi, Casa Colorado - Molulo road, 50 m from OKA 4363 en ladera","21/03/72",3200,"24",-23.6,-65.1333333333333,1926.16296386719
908,"CGN",17994,"BAL","vernei ballsii",-231.666,"2310S",-64.95,"06457W","P. Salta","D. Oran","ARG","Cueva, road to Abra de Zente and Santa Cruz. A 500 m DE 4476","31/03/72",3600,"24",-23.1666666666667,-64.95,3438.45263671875
909,"CGN",22326,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
910,"CGN",22374,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
911,"CGN",17764,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
912,"CGN",20567,"VER","verrucosum",253.666,"2522N",-100.55,"10033W","E. Coahuila",NA,"MEX","near Saltillo, Canon de los Lirios, 37 miles from Saltillo, N. facing slope","22/08/58",3300,"24",25.3666666666667,-100.55,3461.45190429688
913,"CGN",NA,"VER","verrucosum",19.24,"19?24 N",-101.36,"101?36 W","E. Michoacan",NA,"MEX","7 miles beyond Opopeo, km 51 on Quiroga-Tacambaro road.",NA,2950,"24",NA,NA,NA
914,"CGN",17769,"VER","verrucosum",19.4,"1924N",-101.6,"10136W","E. Michoacan",NA,"MEX","7 miles beyond Opopeo, km 51 on the Quirogo-Tacambaro road","20/09/58",2950,"24",19.4,-101.6,2297.84204101562
915,"CGN",17765,"VER","verrucosum",19.4,"1924N",-101.6,"10136W","E. Michoacan",NA,"MEX","7 miles beyond Opopeo, km 51 on Quirogo-Tacambaro road","20/09/58",2950,"24",19.4,-101.6,2297.84204101562
916,"CGN",17773,"VER","verrucosum",19.55,"1933N",-103.633,"10338W","E. Jalisco",NA,"MEX","Nevado de Colima, Llanita de las Tepozas, NE slope of the mountain","23/09/58",3100,"24",19.55,-103.633333333333,3333.341796875
917,"CGN",17771,"VER","verrucosum",19.55,"1933N",-103.633,"10338W","E. Jalisco",NA,"MEX","Nevado de Colima, W side, Tranquitas","23/09/58",3200,"24",19.55,-103.633333333333,3333.341796875
918,"CGN",17766,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
919,"CGN",17770,"VER","verrucosum",19.55,"1933N",-103.633,"10338W","E. Jalisco",NA,"MEX","Nevado de Colima, NE side, near Rancho Juan Martinez","23/09/58",3250,"24",19.55,-103.633333333333,3333.341796875
920,"CGN",17772,"VER","verrucosum",190.333,"1902N",-986.333,"09838W","E. Puebla",NA,"MEX","Popocatepetl","31/08/62",2838,"24",19.0333333333333,-98.6333333333333,4651.36376953125
921,"CGN",960832,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
922,"CGN",960833,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
923,"CGN",20566,"VER","verrucosum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
924,"CGN",18296,"VIO","violaceimarmoratum",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
925,"CGN",20647,"VIO","violaceimarmoratum",-173.333,"1720S",-657.666,"06546W","D. Cochabamba","P. Chapare","BOL","Road from Aguirre to Incachaca, taking left-hand turning for 2,5 km; 16,5 k","31/03/80",3400,"24",-17.3333333333333,-65.7666666666667,4106.25830078125
926,"CGN",22878,"VIO","violaceimarmoratum",-15.15,"1509S",-689.833,"06859W","D. La Paz","P. Saavedra","BOL","Caspichaca, 5 km before Chullina, between Mataro and Chullina","04/03/78",3500,"24",-15.15,-68.9833333333333,2952.72631835938
927,"CGN",962448,"VRG","virgultorum",-176.166,"1737S",-664.666,"06628W","D. Cochabamba","P. Arque","BOL","60 km from Cochabamba on old road to Oruro","09/03/80",3175,"24",-17.6166666666667,-66.4666666666667,3129.20458984375
928,"CGN",17775,"VRG","virgultorum",NA,NA,NA,NA,"D. Cochabamba","P. Carrasco","BOL","104-5 km from Cochabamba on Santa Cruz road","18/03/71",3000,"24",NA,NA,NA
929,"CGN",962072,"VRG","virgultorum",-17.05,"1703S",-67.3,"06718W","D. La Paz","P. Inquisivi","BOL","73 km from Panduro to Quime, 5 km after Huanacota","25/03/80",3910,"24",-17.05,-67.3,4644.1904296875
930,"CGN",20615,"VRG","virgultorum",-17.05,"1703S",-67.3,"06718W","D. La Paz","P. Inquisivi","BOL","74 km from Panduro to Quime, 6 km after Huanacota","25/03/80",3800,"24",-17.05,-67.3,4644.1904296875
931,"CGN",962077,"VRG","virgultorum",-169.833,"1659S",-67.2,"06712W","D. La Paz","P. Inquisivi","BOL","12.5 km from Quime to Inquisivi (Calasaya Villaga)","26/03/80",2930,"24",-16.9833333333333,-67.2,3258.775390625
932,"CGN",20652,"VRG","virgultorum",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
933,"CGN",18262,"SPEC","species",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
934,"CGN",18336,"YUN","yungasense",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
935,"CGN",20677,"YUN","yungasense",NA,NA,NA,NA,"D. La Paz",NA,"BOL",NA,"20/03/93",NA,"24",NA,NA,NA
936,"CGN",20676,"YUN","yungasense",NA,NA,NA,NA,"D. La Paz",NA,"BOL",NA,"20/03/93",NA,"24",NA,NA,NA
937,"CGN",17688,"DPH","bulbocastanum dolichophyllum",19.7,"1942N",-103.516,"10331W","E. Jalisco",NA,"MEX","Cuidad Guzman",NA,NA,"24",19.7,-103.516666666667,1573.14514160156
938,"CGN",18323,"BUK","bukasovii",NA,NA,NA,NA,"D. Apurimac","P. Abancay","PER",NA,NA,3800,"24",NA,NA,NA
939,"CGN",18189,"BER","berthaultii",-194.333,"1926S",-652.166,"06513W","D. Potosi","P. Saavedra","BOL","89 km from Potosi to Sucre","05/03/80",2950,"24",-19.4333333333333,-65.2166666666667,2534.564453125
940,"CGN",23508,"BER","berthaultii",-194.166,"1925S",-647.833,"06447W","D. Chuquisaca","P. Yamparaez","BOL","43 km from Tarabuco to Sotomayor via Icla","13/03/80",2500,"24",-19.4166666666667,-64.7833333333333,2638.31274414062
941,"CGN",18267,"BER","berthaultii",-18.25,"1815S",-652.833,"06517W","D. Cochabamba","P. Campero","BOL","17 km from Aiquile turn W to Sucre, Novillero, 13 km from junction","22/02/80",2420,"24",-18.25,-65.2833333333333,2431.8974609375
942,"CGN",20642,"BER","berthaultii",-179.833,"1759S",-652.333,"06514W","D. Cochabamba","P. Mizque","BOL","37 km from Aiquile on the road to Misque, just before the river crossing","23/02/80",2000,"24",-17.9833333333333,-65.2333333333333,2340.8388671875
